agent,goal,group,success,total_steps,termination,attempt_index,optimal_depth,invalid_action_steps,invalid_action_rate,repeated_action_transitions,repeated_action_rate,failed_steps,successful_steps,dead_loop,cascade_failure,plan_knowledge_error_steps,sequencing_error_steps,dominant_error_type,first_failure_step,source
react,activator_rail,Redstone,False,9,dead_loop,,6,0,0.0,4,0.5,9,0,False,True,9,0,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run01.json
react,activator_rail,Redstone,False,10,dead_loop,,6,2,0.2,4,0.4444444444444444,10,0,False,True,9,1,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run02.json
react,activator_rail,Redstone,False,42,dead_loop,,6,0,0.0,6,0.14634146341463414,28,14,False,False,24,4,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run03.json
react,activator_rail,Redstone,False,5,dead_loop,,6,5,1.0,4,1.0,5,0,True,True,5,0,dead_loop,1,full_v1_results/full_v1/react/activator_rail_run04.json
react,activator_rail,Redstone,False,13,dead_loop,,6,0,0.0,3,0.25,9,4,False,False,7,2,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run05.json
react,activator_rail,Redstone,False,15,dead_loop,,6,1,0.06666666666666667,4,0.2857142857142857,9,6,False,False,4,5,sequencing_error,1,full_v1_results/full_v1/react/activator_rail_run06.json
react,activator_rail,Redstone,False,52,dead_loop,,6,5,0.09615384615384616,3,0.058823529411764705,36,16,False,False,32,4,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run07.json
react,activator_rail,Redstone,False,18,dead_loop,,6,0,0.0,3,0.17647058823529413,12,6,False,False,11,1,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run08.json
react,activator_rail,Redstone,False,41,dead_loop,,6,0,0.0,7,0.175,25,16,False,False,19,6,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run09.json
react,activator_rail,Redstone,False,25,dead_loop,,6,0,0.0,1,0.041666666666666664,19,6,False,False,18,1,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run10.json
react,activator_rail,Redstone,False,8,dead_loop,,6,5,0.625,2,0.2857142857142857,6,2,False,False,6,0,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run11.json
react,activator_rail,Redstone,False,10,dead_loop,,6,0,0.0,2,0.2222222222222222,9,1,False,False,8,1,plan_knowledge_error,1,full_v1_results/full_v1/react/activator_rail_run14.json
react,activator_rail,Redstone,False,7,dead_loop,,6,0,0.0,4,0.6666666666666666,7,0,True,True,7,0,dead_loop,1,full_v1_results/full_v1/react/activator_rail_run15.json
react,blast_furnace,Iron,False,39,dead_loop,,8,0,0.0,3,0.07894736842105263,23,16,False,False,8,15,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run01.json
react,blast_furnace,Iron,False,100,max_steps,,8,14,0.14,18,0.18181818181818182,42,58,True,False,20,22,dead_loop,1,full_v1_results/full_v1/react/blast_furnace_run02.json
react,blast_furnace,Iron,False,23,dead_loop,,8,0,0.0,0,0.0,16,7,False,False,2,14,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run03.json
react,blast_furnace,Iron,False,19,dead_loop,,8,0,0.0,3,0.16666666666666666,12,7,False,False,5,7,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run04.json
react,blast_furnace,Iron,False,29,dead_loop,,8,0,0.0,6,0.21428571428571427,12,17,False,False,4,8,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run05.json
react,blast_furnace,Iron,False,21,dead_loop,,8,1,0.047619047619047616,2,0.1,13,8,False,False,4,9,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run06.json
react,blast_furnace,Iron,False,35,dead_loop,,8,0,0.0,3,0.08823529411764706,17,18,False,False,4,13,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run07.json
react,blast_furnace,Iron,False,28,dead_loop,,8,0,0.0,4,0.14814814814814814,13,15,False,False,3,10,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run08.json
react,blast_furnace,Iron,False,29,dead_loop,,8,0,0.0,4,0.14285714285714285,12,17,False,False,0,12,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run09.json
react,blast_furnace,Iron,False,18,dead_loop,,8,0,0.0,0,0.0,12,6,False,False,2,10,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run10.json
react,blast_furnace,Iron,False,36,dead_loop,,8,0,0.0,7,0.2,13,23,False,False,2,11,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run11.json
react,blast_furnace,Iron,False,9,dead_loop,,8,0,0.0,3,0.375,6,3,False,False,1,5,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run12.json
react,blast_furnace,Iron,False,21,dead_loop,,8,0,0.0,0,0.0,14,7,False,False,0,14,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run13.json
react,blast_furnace,Iron,False,32,dead_loop,,8,0,0.0,2,0.06451612903225806,19,13,False,False,6,13,sequencing_error,1,full_v1_results/full_v1/react/blast_furnace_run14.json
