agent,goal,group,success,total_steps,termination,attempt_index,optimal_depth,invalid_action_steps,invalid_action_rate,repeated_action_transitions,repeated_action_rate,failed_steps,successful_steps,dead_loop,cascade_failure,plan_knowledge_error_steps,sequencing_error_steps,dominant_error_type,first_failure_step,source
reflexion,activator_rail,Redstone,False,14,dead_loop,3,6,0,0.0,1,0.07692307692307693,11,3,False,False,5,6,sequencing_error,1,full/full_v1/reflexion/activator_rail_run01.json
reflexion,activator_rail,Redstone,False,21,dead_loop,3,6,0,0.0,1,0.05,10,11,False,False,4,6,sequencing_error,2,full/full_v1/reflexion/activator_rail_run02.json
reflexion,activator_rail,Redstone,False,10,dead_loop,3,6,0,0.0,3,0.3333333333333333,6,4,False,False,1,5,sequencing_error,4,full/full_v1/reflexion/activator_rail_run03.json
reflexion,activator_rail,Redstone,False,55,dead_loop,3,6,1,0.01818181818181818,10,0.18518518518518517,15,40,False,False,13,2,plan_knowledge_error,1,full/full_v1/reflexion/activator_rail_run04.json
reflexion,activator_rail,Redstone,False,11,dead_loop,3,6,0,0.0,1,0.1,5,6,False,False,0,5,sequencing_error,2,full/full_v1/reflexion/activator_rail_run05.json
reflexion,activator_rail,Redstone,False,11,dead_loop,3,6,0,0.0,1,0.1,7,4,False,False,2,5,sequencing_error,1,full/full_v1/reflexion/activator_rail_run06.json
reflexion,activator_rail,Redstone,False,13,dead_loop,3,6,0,0.0,4,0.3333333333333333,10,3,False,False,2,8,sequencing_error,1,full/full_v1/reflexion/activator_rail_run07.json
reflexion,activator_rail,Redstone,False,100,max_steps,3,6,5,0.05,10,0.10101010101010101,34,66,False,False,24,10,plan_knowledge_error,4,full/full_v1/reflexion/activator_rail_run08.json
reflexion,activator_rail,Redstone,False,17,dead_loop,3,6,0,0.0,2,0.125,8,9,False,False,3,5,sequencing_error,4,full/full_v1/reflexion/activator_rail_run09.json
reflexion,activator_rail,Redstone,False,5,dead_loop,3,6,0,0.0,4,1.0,5,0,True,True,5,0,dead_loop,1,full/full_v1/reflexion/activator_rail_run10.json
reflexion,activator_rail,Redstone,False,5,dead_loop,3,6,5,1.0,4,1.0,5,0,True,True,5,0,dead_loop,1,full/full_v1/reflexion/activator_rail_run11.json
reflexion,activator_rail,Redstone,False,12,dead_loop,3,6,0,0.0,5,0.45454545454545453,9,3,True,False,2,7,dead_loop,1,full/full_v1/reflexion/activator_rail_run12.json
reflexion,activator_rail,Redstone,False,37,dead_loop,3,6,0,0.0,1,0.027777777777777776,17,20,False,False,11,6,plan_knowledge_error,1,full/full_v1/reflexion/activator_rail_run13.json
reflexion,activator_rail,Redstone,False,11,dead_loop,3,6,0,0.0,4,0.4,7,4,True,False,1,6,dead_loop,2,full/full_v1/reflexion/activator_rail_run14.json
reflexion,activator_rail,Redstone,False,10,dead_loop,3,6,0,0.0,1,0.1111111111111111,10,0,False,True,8,2,plan_knowledge_error,1,full/full_v1/reflexion/activator_rail_run15.json
reflexion,blast_furnace,Iron,False,9,dead_loop,3,8,0,0.0,1,0.125,5,4,False,False,0,5,sequencing_error,2,full/full_v1/reflexion/blast_furnace_run01.json
reflexion,blast_furnace,Iron,False,20,dead_loop,3,8,0,0.0,1,0.05263157894736842,10,10,False,False,5,5,sequencing_error,2,full/full_v1/reflexion/blast_furnace_run02.json
reflexion,blast_furnace,Iron,False,26,dead_loop,3,8,0,0.0,5,0.2,13,13,False,False,6,7,sequencing_error,7,full/full_v1/reflexion/blast_furnace_run03.json
reflexion,blast_furnace,Iron,False,49,dead_loop,3,8,0,0.0,2,0.041666666666666664,14,35,False,False,1,13,sequencing_error,3,full/full_v1/reflexion/blast_furnace_run04.json
reflexion,blast_furnace,Iron,False,11,dead_loop,3,8,0,0.0,0,0.0,7,4,False,False,0,7,sequencing_error,2,full/full_v1/reflexion/blast_furnace_run05.json
reflexion,blast_furnace,Iron,False,14,dead_loop,3,8,0,0.0,0,0.0,7,7,False,False,0,7,sequencing_error,2,full/full_v1/reflexion/blast_furnace_run06.json
reflexion,blast_furnace,Iron,False,13,dead_loop,3,8,0,0.0,2,0.16666666666666666,9,4,False,False,1,8,sequencing_error,2,full/full_v1/reflexion/blast_furnace_run07.json
reflexion,blast_furnace,Iron,False,33,dead_loop,3,8,0,0.0,4,0.125,18,15,False,False,1,17,sequencing_error,1,full/full_v1/reflexion/blast_furnace_run08.json
reflexion,blast_furnace,Iron,False,45,dead_loop,3,8,0,0.0,2,0.045454545454545456,19,26,False,False,2,17,sequencing_error,3,full/full_v1/reflexion/blast_furnace_run09.json
reflexion,blast_furnace,Iron,False,14,dead_loop,3,8,0,0.0,0,0.0,8,6,False,False,0,8,sequencing_error,1,full/full_v1/reflexion/blast_furnace_run10.json
reflexion,blast_furnace,Iron,False,12,dead_loop,3,8,1,0.08333333333333333,1,0.09090909090909091,9,3,False,False,1,8,sequencing_error,1,full/full_v1/reflexion/blast_furnace_run11.json
reflexion,blast_furnace,Iron,False,26,dead_loop,3,8,2,0.07692307692307693,3,0.12,16,10,False,False,2,14,sequencing_error,1,full/full_v1/reflexion/blast_furnace_run12.json
reflexion,blast_furnace,Iron,False,41,dead_loop,3,8,0,0.0,2,0.05,19,22,False,False,0,19,sequencing_error,1,full/full_v1/reflexion/blast_furnace_run13.json
reflexion,blast_furnace,Iron,False,65,dead_loop,3,8,0,0.0,3,0.046875,30,35,False,False,3,27,sequencing_error,2,full/full_v1/reflexion/blast_furnace_run14.json
reflexion,blast_furnace,Iron,False,39,dead_loop,3,8,0,0.0,4,0.10526315789473684,22,17,False,False,0,22,sequencing_error,4,full/full_v1/reflexion/blast_furnace_run15.json
reflexion,bowl,Wooden,True,15,success,1,3,6,0.4,0,0.0,9,6,False,False,6,3,plan_knowledge_error,1,full/full_v1/reflexion/bowl_run01.json
reflexion,bowl,Wooden,True,22,success,1,3,0,0.0,1,0.047619047619047616,4,18,False,False,1,3,sequencing_error,2,full/full_v1/reflexion/bowl_run02.json
